tier,cgpa,leetcode_problems_solved,github_commits_last_year,hackathon_wins,past_internships,projects,communication_score,sector_demand_index,salary_lpa
2,8.51,87,416,0,2,5,86.0,0.9,17.21
3,10.0,147,113,1,0,4,100.0,0.96,15.66
3,7.38,26,29,0,0,0,68.1,0.93,5.48
3,5.0,10,393,1,1,3,56.7,0.94,9.89
2,9.21,24,372,1,2,2,38.0,0.99,15.92
2,6.04,31,304,0,1,4,63.2,0.92,9.32
1,8.05,360,801,2,1,0,59.1,1.13,32.65
3,8.15,196,274,1,0,2,60.1,1.1,13.2
3,7.65,126,46,0,1,2,72.6,1.03,12.3
3,5.0,61,306,0,1,4,78.7,0.96,9.24
1,7.06,384,365,0,2,3,64.0,0.97,24.6
3,5.62,117,287,1,1,3,68.7,0.94,12.34
3,8.04,55,834,0,0,6,62.5,0.9,8.81
2,6.44,148,242,0,0,1,65.6,1.08,11.77
2,5.0,8,705,0,2,4,62.1,0.85,12.16
2,8.35,328,91,0,1,3,87.1,1.3,24.78
2,5.98,50,230,0,0,3,35.1,1.14,10.05
3,7.66,112,136,0,1,0,72.2,0.92,8.35
2,6.62,153,149,1,1,2,69.1,1.01,16.97
2,8.54,184,151,0,2,2,46.4,0.95,13.13
3,8.49,399,339,0,0,4,90.5,1.1,18.46
2,7.79,30,113,1,1,4,79.6,1.1,17.89
2,7.37,71,111,0,0,1,71.7,0.88,10.27
2,6.97,14,63,3,1,7,50.2,1.16,22.58
2,6.05,238,434,1,2,2,88.4,0.97,19.18
3,6.79,62,139,0,0,0,81.5,1.22,10.71
2,8.07,44,8,0,2,4,73.6,1.0,14.14
3,9.85,65,39,0,1,4,100.0,0.93,14.41
3,8.19,79,105,0,2,1,82.6,0.78,10.99
1,8.36,35,61,0,3,2,68.8,1.08,23.75
3,7.37,57,807,1,2,5,67.4,1.07,15.07
2,8.13,33,79,2,2,2,61.9,0.92,16.75
1,5.0,78,4,0,0,1,93.9,1.07,17.62
3,6.63,138,190,0,1,2,77.8,0.93,8.51
3,8.34,296,78,2,0,1,83.9,0.92,17.48
3,8.37,138,231,1,2,2,86.0,1.03,16.21
2,6.85,182,782,0,1,0,87.0,0.91,16.45
1,5.93,24,193,1,1,1,66.5,1.01,19.45
3,7.41,382,252,0,1,2,63.2,0.95,12.9
2,6.98,260,538,1,1,1,56.5,1.02,16.66
2,8.63,297,65,1,2,2,80.5,1.07,23.17
2,8.34,51,855,1,0,3,64.1,1.04,13.9
1,9.36,119,25,1,3,1,90.4,0.89,24.99
3,8.83,24,264,0,1,3,46.1,0.8,4.98
2,7.17,289,835,0,0,2,81.6,1.0,16.01
3,7.92,542,475,1,1,2,75.0,1.06,21.84
2,9.94,146,282,1,1,1,76.9,0.97,16.72
3,7.02,49,114,0,2,2,74.1,1.07,11.2
3,7.71,120,452,0,1,4,70.7,1.18,12.4
2,7.49,101,119,0,1,2,77.2,1.07,13.11
3,7.52,74,30,0,2,2,53.1,0.96,8.0
3,6.45,32,500,0,0,6,87.6,1.07,8.18
3,9.07,56,261,0,1,1,78.0,1.06,11.12
3,6.4,416,96,0,2,2,71.1,1.17,17.38
3,9.73,81,458,0,0,4,74.6,1.11,11.5
3,9.47,30,225,0,0,3,65.2,0.99,8.14
1,7.8,106,475,0,1,2,46.4,1.06,22.32
2,7.51,11,226,1,2,1,70.3,1.06,15.92
1,6.57,77,538,0,1,4,54.2,0.94,20.47
2,7.59,171,422,0,0,2,69.0,1.0,11.92
2,8.8,45,385,1,3,3,54.1,0.99,19.44
2,6.68,3,395,0,2,5,82.1,0.97,14.84
3,9.26,99,558,0,2,3,76.4,0.88,14.46
2,8.73,195,206,0,0,4,64.0,0.92,14.52
2,7.37,147,368,0,0,1,67.4,1.16,13.46
3,8.46,21,84,2,1,3,97.9,1.09,17.5
2,6.4,276,1341,0,2,2,76.5,0.89,17.79
3,7.38,156,406,2,1,3,74.6,1.1,18.97
1,10.0,104,181,0,1,3,68.0,0.98,23.88
3,8.93,182,204,1,2,3,65.0,1.07,16.77
3,8.1,218,119,2,1,3,75.4,1.01,19.02
2,7.58,292,407,0,1,5,84.9,0.92,17.27
1,7.41,0,19,1,0,1,49.0,1.13,20.97
3,7.47,299,1698,1,3,4,73.7,0.98,22.38
3,6.57,289,71,1,0,3,72.3,1.12,14.0
3,8.28,769,285,1,0,2,86.1,0.86,18.61
3,8.75,109,90,1,0,2,72.9,0.98,12.03
1,7.2,55,26,0,2,5,57.9,0.73,16.79
2,8.06,60,19,0,3,3,51.6,1.01,16.66
2,6.63,0,15,0,1,5,49.1,1.06,10.64
3,7.42,118,45,2,0,2,37.9,1.16,14.04
3,6.48,181,672,2,1,1,76.2,0.9,14.12
2,7.23,120,21,0,1,4,84.9,0.88,10.73
1,7.64,67,95,1,1,3,53.3,1.3,27.26
2,8.23,93,176,0,4,8,55.9,0.89,17.89
2,6.76,137,214,1,3,3,59.2,0.89,17.62
3,8.07,8,420,2,0,2,62.7,1.03,14.22
3,6.35,93,29,1,1,1,49.3,0.82,6.67
3,7.88,82,111,1,1,1,68.5,1.02,12.73
2,10.0,65,233,1,1,4,57.6,1.0,16.75
2,7.05,226,231,0,2,3,62.6,1.05,15.67
3,5.9,140,64,2,1,5,75.5,0.82,10.81
3,8.58,508,80,1,0,3,67.1,0.96,17.06
3,7.84,48,1278,0,2,3,80.2,1.14,17.19
3,8.05,63,1,0,1,2,82.0,1.01,7.28
2,9.03,98,396,0,1,4,86.5,1.16,18.47
3,6.65,12,261,0,2,5,78.2,0.99,11.38
2,6.68,54,149,1,0,5,63.3,1.13,15.57
1,8.15,15,113,1,0,3,78.8,1.1,21.61
2,8.75,21,41,1,0,3,71.5,1.0,15.61
1,7.78,162,173,0,3,4,58.9,0.92,25.11
3,7.41,194,368,0,1,4,64.6,0.93,12.67
2,7.89,10,77,1,0,1,79.6,0.93,10.72
3,8.38,25,865,0,1,4,100.0,0.91,12.27
3,5.76,157,313,1,0,2,75.8,1.11,9.21
2,6.31,324,92,1,1,1,61.0,0.95,13.11
2,7.39,17,386,0,0,5,78.2,1.09,14.23
3,8.33,57,27,1,0,7,76.0,1.09,12.82
2,10.0,190,449,1,3,8,78.9,1.06,28.99
1,7.36,137,236,0,0,1,51.3,0.94,16.38
2,7.79,82,63,0,1,3,87.1,1.19,15.63
2,6.7,73,56,1,2,0,77.6,0.9,14.83
3,8.29,50,380,1,1,6,81.4,0.87,13.04
3,6.18,159,491,1,4,2,79.6,1.11,21.83
3,7.49,20,272,1,1,2,71.5,0.98,11.49
3,6.36,71,347,0,3,2,75.9,1.06,13.65
3,5.0,578,131,1,1,4,78.2,1.06,20.9
2,10.0,7,224,0,0,5,92.5,0.83,8.92
3,8.46,46,196,1,3,3,73.8,1.06,19.05
3,8.47,835,54,0,1,5,67.9,0.96,23.15
3,8.59,186,387,1,1,3,70.0,0.9,12.62
3,9.21,84,702,1,3,1,50.2,0.88,13.71
2,7.69,97,76,0,2,0,53.3,1.02,16.0
2,8.54,96,155,0,0,5,51.4,1.0,9.54
2,6.9,116,847,1,1,1,60.9,0.97,16.65
2,7.29,182,802,0,0,2,64.6,1.05,14.18
3,5.66,1,190,1,0,3,88.5,1.05,11.47
3,7.74,75,405,1,2,5,43.1,1.01,13.94
1,6.86,208,91,0,0,2,77.0,1.04,18.91
3,7.34,129,299,0,1,2,57.1,0.91,8.84
2,8.49,898,223,0,2,2,58.4,0.93,24.15
2,7.86,30,220,1,0,1,79.8,1.1,15.88
2,8.74,79,42,0,2,4,76.9,0.88,12.65
2,6.79,366,122,1,1,3,91.7,0.95,20.97
3,7.96,117,445,0,2,4,43.2,1.04,12.45
2,6.73,199,251,0,2,1,62.9,0.92,16.23
3,7.29,70,46,0,1,1,58.6,0.9,9.12
3,7.13,159,412,2,1,3,62.6,0.83,15.73
2,6.28,33,124,2,4,3,58.7,1.16,24.86
3,7.0,77,96,0,1,5,60.9,0.83,7.28
3,8.19,26,146,0,1,3,73.1,1.0,12.14
2,6.4,73,197,1,0,5,69.6,1.07,15.59
2,6.7,30,304,1,0,5,63.7,1.07,14.53
2,8.99,50,163,1,1,1,62.0,1.02,17.54
2,9.2,59,335,0,4,4,67.3,1.04,21.58
1,8.5,224,554,0,1,2,51.2,1.12,25.55
3,9.55,211,373,1,0,4,49.7,0.9,15.94
3,9.14,304,272,0,1,4,70.6,0.92,11.72
1,7.39,30,400,0,1,5,88.4,1.1,24.72
2,9.89,12,347,1,1,3,78.8,1.09,19.99
3,9.37,58,76,0,0,4,68.4,1.1,12.31
2,7.41,67,207,0,0,3,79.2,0.95,12.92
2,7.8,284,90,1,2,4,75.7,1.09,23.92
2,6.71,91,1045,0,1,2,69.6,1.03,14.49
3,7.39,85,393,1,2,0,73.5,1.09,17.71
2,5.63,257,110,0,2,3,72.1,0.99,16.53
3,6.8,241,2,0,0,1,80.1,1.0,9.96
3,8.45,78,84,1,0,8,16.7,0.93,9.99
2,6.27,55,813,0,0,1,55.6,0.98,7.93
3,7.12,147,1235,3,1,3,77.2,1.08,22.93
2,8.17,131,13,0,1,6,93.9,1.05,17.67
3,7.15,465,281,0,0,3,46.7,1.01,15.42
3,8.88,153,277,0,1,2,84.2,1.03,14.02
3,8.94,17,123,0,1,0,91.2,0.97,9.18
1,6.76,184,248,0,2,4,71.7,0.93,22.24
3,6.98,431,573,1,1,2,74.6,0.84,16.8
2,7.55,96,56,0,0,5,61.4,1.09,13.61
2,6.7,78,32,0,1,1,82.9,0.82,6.65
1,9.46,111,54,1,0,2,96.7,1.0,21.13
3,7.01,165,105,0,0,1,95.2,0.97,12.98
3,8.59,262,53,0,0,3,55.5,1.23,13.0
1,5.7,362,309,1,1,3,67.7,1.07,28.09
3,6.57,130,95,0,1,6,66.8,1.02,11.74
2,6.2,339,5,0,2,4,50.5,1.22,17.54
3,6.01,154,543,0,0,7,70.2,0.95,9.93
2,6.88,212,404,0,1,2,91.8,0.98,13.15
3,7.94,85,7,0,2,4,55.1,0.99,11.42
2,9.34,107,574,0,2,2,47.4,0.81,12.79
3,7.26,95,43,1,0,3,78.9,0.97,11.35
2,7.6,351,96,2,2,3,64.8,0.96,25.08
2,7.91,203,144,2,3,2,52.4,0.99,25.13
2,6.63,154,554,2,4,1,77.4,0.91,20.7
3,7.47,8,29,2,3,2,65.5,0.95,15.01
3,10.0,9,104,0,1,1,57.3,1.04,10.31
2,7.97,62,1134,0,1,2,83.2,0.86,13.75
3,10.0,318,11,0,1,7,71.0,1.16,22.89
3,7.53,8,1093,0,3,3,82.6,1.05,16.0
3,6.76,7,180,1,2,6,89.3,1.08,14.82
3,8.75,186,243,0,1,4,74.3,1.0,12.25
2,9.02,195,835,0,4,2,79.0,1.0,20.93
1,6.9,299,64,0,1,6,80.5,1.18,30.64
3,7.94,24,97,0,1,2,42.0,0.96,6.52
3,7.42,13,813,2,2,7,64.9,0.94,18.8
3,5.84,27,61,1,0,5,49.6,0.99,9.35
2,5.91,320,266,0,0,3,65.8,1.2,15.73
2,7.25,90,50,1,2,3,79.4,1.11,20.66
3,8.88,214,81,0,2,0,77.9,0.96,12.65
3,8.52,81,1390,0,0,3,61.4,0.92,10.01
3,6.4,404,219,0,3,2,77.1,1.09,17.6
3,6.15,67,306,1,2,4,86.0,1.0,13.99
3,6.45,84,607,0,2,5,79.3,1.01,12.87
1,6.35,270,823,0,3,1,66.7,0.92,23.12
2,6.44,783,78,0,1,2,67.7,1.02,24.22
3,5.07,289,120,0,2,3,67.3,1.05,14.19
3,5.0,277,76,0,0,5,60.3,1.09,9.51
1,5.0,37,325,1,1,0,91.9,1.1,22.82
2,5.64,5,63,1,1,3,68.5,1.04,13.6
3,8.9,20,452,0,2,3,49.6,0.82,10.45
1,10.0,42,172,0,1,3,50.8,1.01,20.71
2,9.92,119,53,0,1,2,73.1,1.06,16.68
3,7.8,52,228,0,2,1,64.2,0.97,10.34
3,6.57,355,59,0,3,3,65.6,0.82,14.21
3,6.98,36,330,0,2,3,57.1,0.94,9.75
2,7.67,258,693,0,1,0,73.9,1.04,14.96
3,9.98,122,94,4,0,3,66.9,0.92,16.08
2,6.31,36,516,2,0,2,92.5,1.1,17.52
2,7.5,120,585,0,1,3,47.2,0.96,15.9
3,7.62,218,54,1,0,2,59.6,1.17,13.73
3,7.39,433,239,0,0,3,55.7,0.87,9.18
3,5.09,136,92,1,0,4,80.7,0.95,8.98
3,7.17,7,338,1,0,2,68.2,0.93,9.19
3,5.88,53,623,1,1,4,57.9,0.99,13.0
1,10.0,366,325,1,0,3,64.9,0.86,23.24
2,8.19,114,493,1,3,4,46.6,0.97,20.0
2,8.84,202,50,1,1,6,90.0,0.82,17.08
2,6.44,55,337,0,2,5,65.5,1.06,17.63
3,6.96,254,197,0,1,4,54.2,1.07,15.19
2,9.95,8,149,1,1,1,73.4,1.02,13.35
3,8.73,33,44,1,1,4,90.3,1.07,11.43
3,8.01,136,768,0,1,2,81.1,1.0,13.58
3,9.11,20,881,0,1,3,50.9,0.95,11.42
