cgpa,internships,tier,sector_demand_index,coding_score,communication_score,starting_salary_lpa
8.1,0,2,1.17,78.6,68.3,11.15
7.33,0,2,1.27,55.0,100.0,7.99
8.28,1,3,1.1,71.6,25.6,7.1
9.33,1,2,0.89,57.7,40.7,9.09
7.22,3,3,0.85,64.8,61.6,8.41
7.22,2,2,0.92,64.0,59.6,9.61
9.4,1,2,0.83,57.3,51.7,11.12
8.42,1,2,0.97,66.6,52.7,8.13
6.94,4,3,0.85,62.8,75.3,9.11
8.15,2,1,0.72,54.4,52.4,17.23
6.94,1,2,1.08,87.6,56.9,7.38
6.94,1,3,1.09,58.0,80.0,5.52
7.79,1,2,1.34,78.4,77.6,10.81
5.2,0,2,0.91,80.0,57.8,5.57
5.43,3,3,0.62,83.9,43.0,5.3
6.83,2,1,1.16,61.8,78.2,18.33
6.28,0,2,1.19,67.0,50.9,5.31
7.88,5,1,1.23,67.5,84.4,18.28
6.41,0,2,1.29,77.9,71.3,8.42
5.81,1,3,1.3,66.4,62.1,5.73
9.26,3,1,0.8,76.9,71.6,16.68
7.23,1,3,1.31,66.2,35.7,4.24
7.58,2,3,0.93,86.8,87.2,6.98
5.79,2,2,1.16,69.8,61.9,7.65
6.85,1,3,1.05,68.0,67.5,6.83
7.63,3,2,0.81,75.1,56.4,11.52
6.12,1,1,1.23,94.5,62.4,16.66
7.95,2,1,0.91,60.9,89.0,15.89
6.78,2,2,1.37,85.6,60.9,9.51
7.15,2,3,0.85,57.7,58.7,3.87
6.78,0,2,0.8,70.7,75.2,7.11
9.72,1,3,0.87,58.1,69.7,6.94
7.48,4,3,1.3,64.4,88.3,11.09
6.23,0,2,0.69,59.8,34.8,2.83
8.49,1,3,1.18,80.5,58.1,6.41
6.03,0,3,1.37,62.5,43.6,2.5
7.75,2,1,0.97,78.0,83.5,14.13
5.15,4,2,0.92,62.1,45.6,10.71
5.91,3,2,1.02,69.9,69.9,7.63
7.74,0,2,0.78,91.9,45.4,8.49
8.39,1,3,1.5,58.8,57.5,7.38
7.71,0,2,1.13,59.1,50.1,6.11
7.36,1,3,0.76,66.3,64.9,3.87
7.14,3,3,0.84,69.7,95.4,8.51
5.73,0,3,1.04,79.3,43.6,6.43
6.64,3,2,0.74,70.6,47.9,10.68
6.95,2,2,0.7,73.7,74.0,8.99
8.77,2,2,1.06,52.7,62.7,8.27
7.91,1,2,1.2,74.5,45.9,10.04
5.38,2,3,1.18,74.9,57.9,3.68
7.89,1,2,0.99,80.1,42.3,9.88
7.04,1,1,0.95,65.1,57.6,13.04
6.69,5,2,1.01,69.9,50.4,8.62
8.23,2,3,1.2,80.6,69.7,5.45
8.74,1,3,0.75,54.1,74.6,8.49
8.62,2,3,0.84,43.1,25.2,4.51
6.49,0,2,0.92,53.4,66.6,5.13
7.13,0,2,0.95,60.4,30.5,5.85
7.9,2,3,0.99,86.1,65.1,7.03
8.67,2,3,1.0,100.0,88.9,9.02
6.92,1,3,1.13,56.4,59.8,4.24
7.28,0,3,0.65,68.7,68.8,5.03
6.17,1,2,0.68,62.1,76.1,8.76
6.06,1,2,0.87,77.2,76.6,6.23
8.48,0,3,1.17,74.2,77.5,8.63
9.13,1,2,0.87,56.9,71.5,7.46
7.41,0,3,0.99,60.7,53.7,4.76
8.7,1,2,1.03,67.9,74.7,9.37
7.93,0,1,1.06,88.5,87.3,14.61
6.73,5,3,1.31,60.2,72.3,10.63
7.93,4,1,1.14,46.7,67.9,15.04
9.35,3,2,1.2,89.5,39.9,13.24
7.46,1,2,0.97,77.5,49.1,9.37
9.38,1,3,1.29,52.6,54.2,4.69
5.0,0,2,1.01,74.6,48.5,4.38
8.49,1,1,0.61,82.2,62.5,17.02
7.6,3,3,1.49,71.4,51.1,5.62
7.14,2,2,1.01,90.4,78.0,10.51
